text, user_id, len
Расписание репетиций на 2 мая:

Сербия — 10:00 
Австрия — 10:40 
Македония — 11:20 
Мальта — 12:00 
 
Румыния — 13:40 
Нидерланды — 14:20 
Венгрия — 15:00 
 
Дания — 16:00 
Ирландия — 16:40,-16785619,23
Краткий обзор вчерашнего и сегодняшнего дней. Все участники первого полуфинала завершили свои первые репетиции.,-16785619,14
Martina Bárta (Чехия),-16785619,3
Завершился второй день репетиций Евровидения 2017. Какая из них понравилась вам больше всего?,-16785619,13
Арцвик (Армения),-16785619,2
Первая репетиция Латвии!,-16785619,3
Первая репетиция Словении!,-16785619,3
Triana Park (Латвия),-16785619,3
Omar Naber (Словения),-16785619,3
Первая репетиция Армении!,-16785619,3
Hovig (Кипр),-16785619,2
Первая репетиция Кипра!,-16785619,3
Первая репетиция Чехии!,-16785619,3
Svala (Исландия),-16785619,2
Первая репетиция Исландии!,-16785619,3
Первая репетиция Молдовы!,-16785619,3
Первая репетиция Польши!,-16785619,3
Sunstroke Project (Молдова),-16785619,3
"В своей хореографии я буду использовать крылья, которые являются частью костюма, и ветродуи. Настоящая научная фантастика", — рассказывает Свала из Исландии о своём номере.,-16785619,23
Kasia Moś,-16785619,2
Первая репетиция Греции!,-16785619,3
,-16785619,0
Demy (Греция),-16785619,2
Молдавские представители обещают нам весёлое и забавное выступление, но подробности держут в секрете. Напомним, что ребята представляют Молдову на Евровидении уже второй раз после 2010 года!,-16785619,26
Камера... Мотор!,-16785619,2
Кася из Польши прибыла в арену в хорошем настроении, ей не терпится начать свою первую репетицию, так как после неё певица  будет чувствовать себя спокойнее. А вам нравится заявка Польши в этом году? Что ожидаете увидеть на сцене?,-16785619,38
Деми из Греции была первой, кто прибыл сегодня в арену. Певица чувствует больше приятное волнение, чем стресс перед своей первой репетицией. Уже сейчас начинается её выступление с песней This is love, открывая второй день репетиций Евровидения 2017. Доброе утро!,-16785619,39
Какая из сегодняшних репетиций заинтриговала вас больше всего?,-16785619,8
Завтра свои первые репетиции проведут остальные участники первого полуфинала: 

(по московскому и киевскому времени)
Греция — 10:00 
Польша — 10:40 
Молдова — 11:20
Исландия— 12:00

Чехия — 13:40
Кипр — 14:20
Армения — 15:00

Словения — 16:00
Латвия — 16:40,-16785619,32
Первая репетиция Португалии!

Из-за проблем со здоровьем участник Салвадор Собрал не может присутствовать на репетициях, он выступит на самом конкурсе. Сегодня вместо него опробовала конкурсную песню на сцене Евровидения его сестра Луиза, которая является автором композиции.,-16785619,36
Первая репетиция Азербайджана!,-16785619,3
Dihaj (Азербайджан),-16785619,2
Первая репетиция Финляндии!,-16785619,3
Slavko Kalezić (Черногория),-16785619,3
Первая репетиция Черногории!,-16785619,3
Dihaj: "Вы никогда не видели ничего подобного от Азербайджана!"

Представительница Азербайджана Dihaj готова к первой репетиции. Свой номер певица описывает как "интересный, модный, мрачный и эмоциональный". Вдохновение исполнительница находит в своей профессии вокалистки, идеальной команде и своей семье!,-16785619,38
Norma John (Финляндия),-16785619,3
Первая репетиция Бельгии!,-16785619,3
Линдита (Албания),-16785619,2
Первая репетиция Австралии!,-16785619,3
Славко из Черногории чувствует "потрясающую энергию"! 

